Coin,Description,Rank,Price,Price - Currency,Price Change % 24 hours,Market capitalization,Market capitalization - Currency,Volume in USD 24 hours,Volume in USD 24 hours - Currency,Circulating supply,Volume / Market Capitalization,Social dominance %,Category,Technical Rating 1 day
BTC,Bitcoin,1,86216.4,USD,2.7649068171586677,1720237807767.5999,USD,42969641130.118935,USD,19952559,0.02497889590386449,32.48692024886878,"Cryptocurrencies, Layer 1",Sell
XRP,XRP,4,2.0456,USD,6.596498541058765,123261456520.4128,USD,3661116839.8705673,USD,60256871588,0.029702041037169356,2.8498538838612366,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America",Sell
DOGE,Dogecoin,9,0.14355,USD,3.727785002167336,21803844868.380886,USD,1410768220.9225733,USD,151890246383.70523,0.06470272694741175,2.0358455882352944,"Memes, Cryptocurrencies, Layer 1, Made in America, Animal memes",Sell
BCH,Bitcoin Cash,11,553.13,USD,3.5445596436725566,11038919121.875,USD,783860111.4127426,USD,19957187.5,0.07100877384448136,0.27962386877828055,"Cryptocurrencies, Layer 1, Made in America",Buy
ZEC,Zcash,13,578.31,USD,13.978960639848712,9440798725.884962,USD,1900326587.7487037,USD,16324806.2905448,0.2012887513996408,2.052460407239819,"Privacy, Cryptocurrencies, Layer 1, Made in America",Buy
XLM,Stellar,16,0.23738,USD,3.7723477728723163,7659831795.017925,USD,165342891.02995026,USD,32268227293.86606,0.02158570781377887,0.17133295625942685,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America, Real-world assets, Exchange tokens",Sell
XMR,Monero,17,402.73,USD,17.143355931217087,7429057240.805048,USD,195686263.17696834,USD,18446744.07370955,0.02634065896035051,0.2826875942684766,"Privacy, Cryptocurrencies, Layer 1",Strong buy
LTC,Litecoin,19,83.408,USD,1.7356198468068522,6385009241.3373785,USD,471057787.13659436,USD,76551520.73347135,0.07377558423673142,0.7534407993966817,"Privacy, Cryptocurrencies, Layer 1, Made in America",Sell
SHIB,Shiba Inu,24,0.0000079548,USD,3.077461321170351,4687322392.894254,USD,119621634.49812967,USD,589244530710294.9,0.025520248976146825,0.7708804675716441,"Memes, Cryptocurrencies, Animal memes",Sell
CC,Canton Network,35,0.07556,USD,-2.426206647212258,2670242750.683286,USD,129655124.97061808,USD,35339369384.373825,0.04855555733179717,,"Privacy, Cryptocurrencies, Smart contract platforms, Interoperability, Scaling, Enterprise solutions, Layer 1",Neutral
KAS,Kaspa,60,0.038606,USD,1.8786279683377236,1040265189.0732188,USD,26766924.43912358,USD,26945686915.847763,0.02573086624476059,0.7157334087481146,"Cryptocurrencies, Layer 1, Made in America",Sell
SKY,Sky,63,0.042604,USD,-4.410247207142542,975391284.2143916,USD,25825758.54055318,USD,22894359314.017265,0.02647733167039112,0.05290818250377074,"Cryptocurrencies, Lending and borrowing, DeFi, DAO, Real-world assets",Sell
DASH,Dash,74,60.737,USD,11.174680016136724,759081209.0436279,USD,205779797.0990339,USD,12497838.36942272,0.2710906219879918,0.6034360859728507,"Privacy, Cryptocurrencies, DAO, Made in America",Neutral
DCR,Decred,97,26.814,USD,15.34661970621081,459506485.6805108,USD,13630145.25396446,USD,17136812.32492395,0.029662574258943825,0.06681278280542986,"Privacy, Cryptocurrencies, DAO, Layer 1, Made in America",Buy
TEL,Telcoin,99,0.0051005,USD,1.16226025902933,464183098.590775,USD,3114554.65863859,USD,91007371550,0.006709754551801097,0.2304,"Cryptocurrencies, Payments, Made in America",Buy
BSV,Bitcoin SV,107,21.035,USD,-0.3363812953048655,419673492,USD,17648484.25907083,USD,19951200,0.042052892535492395,0.07329374057315234,"Cryptocurrencies, Scaling",Sell
A,Vaulta,125,0.20995,USD,1.902635538513812,337038862.70135003,USD,23179116.76970149,USD,1605329186.4794,0.06877283107331303,0.056561085972850686,"Cryptocurrencies, Smart contract platforms, Enterprise solutions, DeFi, Made in America",Sell
XEC,eCash,148,0.000011932,USD,6.071650813405636,238059004.64072457,USD,16427996.15302994,USD,19951307797580,0.06900808552830358,0.08778751885369533,"Cryptocurrencies, Layer 1",Sell
RSR,Reserve Rights,160,0.0032464,USD,1.181310974659477,199223117.9811504,USD,10060864.77003698,USD,61367397111,0.05050048845731295,0.04524886877828054,"Cryptocurrencies, Made in America, Real-world assets",Sell
GAS,Gas,199,2.1261,USD,3.57073265783321,138180194.9391,USD,3072451.51264573,USD,64992331,0.022235107672266986,0.3115573152337858,"Cryptocurrencies, Payments",Sell
WBTC,Wrapped Bitcoin,205,86082.35,USD,2.749339845922459,10943693032.01382,USD,207296206.64465943,USD,127130.50970395,0.018942070655513763,0.03723604826546003,"Privacy, Wrapped tokens, Cryptocurrencies, Rehypothecated assets, World Liberty Financial portfolio",Sell
ZANO,Zano,273,13.681,USD,7.885813421654444,205260160.98099998,USD,1639185.66622639,USD,15003301,0.007985892919464884,0.0411,"Privacy, Cryptocurrencies, Interoperability, Layer 1",Neutral
RVN,Ravencoin,297,0.0080162,USD,-0.7846923115005684,126927098.14553429,USD,8494853.66133383,USD,15833823775.047318,0.06692702965282994,0.01944287330316742,"Cryptocurrencies, DeFi, Made in America, Real-world assets",Sell
XVG,Verge,298,0.0076286,USD,9.028919417323053,126039357.19697645,USD,51523721.95912071,USD,16521951235.741348,0.4087907389006956,0.07800716440422323,"Cryptocurrencies, Made in America",Buy
XNO,Nano,299,0.93263,USD,16.61951116152111,124271359.23110999,USD,4253748.90256466,USD,133248297,0.03422951940723426,0.011,"Cryptocurrencies, Payments, Layer 1, Made in America",Buy
DGB,DigiByte,306,0.0068653,USD,6.193444600844567,123679906.38593873,USD,3111758.96677996,USD,18015222406.295242,0.02515977783060271,0.36281579939668174,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America",Sell
ARRR,Pirate Chain,400,0.38914,USD,-6.77048394825108,76354637.34225982,USD,255532.82665292,USD,196213797.97055,0.003346657590782516,0.0337,"Privacy, Cryptocurrencies",Sell
SXP,Solar,460,0.091778,USD,4.014234552790249,60864459.023040056,USD,2643141.64241535,USD,663170465.9399862,0.043426684223296826,0.021092571644042234,"Cryptocurrencies, Payments, DeFi",Sell
EURI,Eurite,477,1.1483,USD,-0.1478389425167243,57494155.76378641,USD,3865081.26835121,USD,50068932.99990108,0.06722563740618819,0.00204,"Stablecoins, Cryptocurrencies",Strong sell
USDP,Pax Dollar,480,0.99953,USD,0,55543337.57755133,USD,2138929.01330443,USD,55569455.22150543,0.03850919131962481,0.0285,"Stablecoins, Asset-backed stablecoins, Cryptocurrencies, Fiat-backed stablecoins",Sell
FIRO,Firo,602,2.1124,USD,-2.1438162707783492,37937794.70558666,USD,851032.74554574,USD,17959569.54439815,0.022432319858075946,0.1339,"Privacy, Cryptocurrencies",Neutral
MTL,Metal DAO,639,0.39769,USD,1.1239097820835506,34861400.01215,USD,1445722.02262092,USD,87659735,0.041470566934117756,0.03511500754147813,"Cryptocurrencies, Payments",Sell
ETN,Electroneum,672,0.0017905,USD,11.529836800797302,32192863.42096468,USD,806416.8021696,USD,17979817604.56,0.025049551871935822,0.0329,"Cryptocurrencies, Payments, Layer 1",Sell
ELON,Dogelon Mars,701,5.5135e-8,USD,2.601559446935998,30305105.482748624,USD,1902553.99097013,USD,549652770159583.3,0.0627799824703851,0.04725207390648567,"Memes, Cryptocurrencies, Animal memes",Sell
FORTH,Ampleforth Governance Token,764,1.7914,USD,2.4359560841720147,25695042.911120027,USD,1817463.46889251,USD,14343554.15380151,0.070732065915561,0.00789498491704374,"Cryptocurrencies, DAO",Sell
PIVX,PIVX,817,0.22791,USD,7.265440829797256,22395572.909982983,USD,5873289.9568511,USD,98264985.78378738,0.2622522755036572,0.0667,"Privacy, Cryptocurrencies, DAO",Neutral
THE,Thena,903,0.14721,USD,1.7697891462150066,17476672.221086968,USD,6172808.65525222,USD,118719327.63458301,0.3532027480497257,0.08366327300150829,"Cryptocurrencies, Smart contract platforms, Decentralized exchange, DeFi, Analytics, Web3, Exchange tokens",Sell
QUAI,Quai Network,980,0.018812,USD,-5.168426344896939,14720097.605083998,USD,792439.44759934,USD,782484457,0.05383384464282688,0.02981240573152338,"Privacy, Cryptocurrencies, Smart contract platforms, Layer 1, Made in America",Sell
GRS,Groestlcoin,995,0.15873,USD,3.985031512605036,14107161.113041643,USD,658409.07533643,USD,88875203.88736624,0.04667197532235956,0.0025923831070889893,Cryptocurrencies,Sell
OMG,OMG Network,1032,0.091423,USD,1.303090407437378,12821655.043764774,USD,1968860.68150039,USD,140245398.24513277,0.1535574521994222,0.0226,"Cryptocurrencies, Scaling, Payments",Sell
PPC,Peercoin,1156,0.32507,USD,-1.0862950340798327,9722545.0462812,USD,52868.58048722,USD,29909081.26336235,0.005437730577287666,0.005,"Cryptocurrencies, Payments",Sell
XEM,NEM,1200,0.0010046,USD,-1.2678132678132614,9041399.998995401,USD,1476781.56476595,USD,8999999999,0.16333549726038407,0.0432,"Cryptocurrencies, Smart contract platforms, Enterprise solutions",Sell
GRIN,Grin,1205,0.041383,USD,2.5321473699858825,8925858.71466,USD,16443.31645602,USD,215689020,0.001842211150957743,0.010840874811463046,"Privacy, Cryptocurrencies",Strong buy
USDUC,Unstable Coin,1350,0.0063834,USD,11.067812532618907,6382865.289495225,USD,1109675.4082738,USD,999916234.216127,0.17385223687864423,0.0811,"Memes, Cryptocurrencies",Sell
MAY,Mayflower AI,1374,0.017703,USD,-0.02823582561554964,5909803.747549102,USD,2737589.59139097,USD,333830635.9119416,0.46322851118809083,0.020856900452488687,"Cryptocurrencies, Data management and AI, DeFi",Sell
BEAM,Beam,1434,0.032837,USD,-6.641457936485386,4950294.64972,USD,105181.57842618,USD,150753560,0.021247538958540438,,"Privacy, Cryptocurrencies, DeFi",Sell
NAV,Navio,1549,0.0503,USD,1.5423126614987097,3941562.324,USD,51960.08924349,USD,78361080,0.013182612622184686,0.0045,Cryptocurrencies,Sell
VOLT,Volt Inu,1550,7.1861e-8,USD,1.118678411617372,3935560.1603706907,USD,276825.91163676,USD,54766287142827,0.07033964679901773,0.0616,"Memes, Cryptocurrencies, Decentralized exchange, Gaming, Data management and AI, NFTs and collectibles, Payments, DeFi, DAO, Exchange tokens, Animal memes",Sell
NEXA,Nexa,1562,6.5579e-7,USD,-3.371299748036602,3842680.1998,USD,42149.48127114,USD,5859620000000,0.010968771555159275,0.02627733785822021,"Cryptocurrencies, Smart contract platforms, Scaling, DeFi",Sell
XEP,Electra Protocol,1673,0.00016853,USD,-0.6422342682064606,3085583.55797262,USD,108074.96266534,USD,18308808864.72806,0.03502577733994362,0.016,"Cryptocurrencies, Smart contract platforms, NFTs and collectibles, Interoperability, Logistics, Real-world assets",Sell
DINGO,Dingocoin,1790,0.000019357,USD,-0.5088404605263169,2228434.918992464,USD,209613.6324539,USD,115122948752,0.09406316095094759,0.003,"Memes, Cryptocurrencies, Payments",Strong sell
VEX,Vexanium,1892,0.0024508,USD,5.112369188540052,1798010.4973732,USD,,,733642279,,0.0038,"Cryptocurrencies, Smart contract platforms, Enterprise solutions",Sell
OPTI,Optimus AI,2147,0.010466,USD,3.265910212136159,994635.6715739999,USD,69394.39986153,USD,95034939,0.06976866187768445,0.0027,"Memes, Cryptocurrencies, Data management and AI",Sell
HUAHUA,Chihuahua,2148,0.000010536,USD,5.097256857855369,985642.8,USD,9139.72750975,USD,93550000000,0.00927285981265221,0.0012961915535444947,"Memes, Cryptocurrencies, Payments, Layer 1, Animal memes",Sell
ANML,Animal Concerts,3264,0.000016353,USD,0.8075453088398423,3679.425,USD,12420.76447094,USD,225000000,3.3757351952927426,0.000471342383107089,"Cryptocurrencies, Gaming, NFTs and collectibles, Social media and content, Metaverse, Marketplace",Sell